category_alias,category_title,yelp_id,yelp_name,yelp_rating,yelp_coordinates.latitude,yelp_coordinates.longitude,yelp_location.address1,yelp_location.city,yelp_distance,bike_lat,bike_lon,bike_id,free_bikes
tapasmallplates,Tapas/Small Plates,_GHNOOJhhjLegiCvzf5V0Q,Ox And Finch,4.7,55.8656539706006,-4.28469195278264,920 Sauchiehall Street,Glasgow,1290.029875412091,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
scottish,Scottish,_GHNOOJhhjLegiCvzf5V0Q,Ox And Finch,4.7,55.8656539706006,-4.28469195278264,920 Sauchiehall Street,Glasgow,1290.029875412091,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
british,British,jGLzc9eIUAnfto_5oZ8BMQ,Number 16 Restaurant,4.6,55.8708105,-4.2988387,16 Byres Road,Glasgow,700.6943353861723,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
bars,Bars,rmaH1My396rCYEnL8XQtPg,Ubiquitous Chip,4.3,55.8749146052102,-4.29324745449333,8-12 Ashton Lane,Glasgow,1274.9203325434953,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
scottish,Scottish,rmaH1My396rCYEnL8XQtPg,Ubiquitous Chip,4.3,55.8749146052102,-4.29324745449333,8-12 Ashton Lane,Glasgow,1274.9203325434953,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
british,British,rmaH1My396rCYEnL8XQtPg,Ubiquitous Chip,4.3,55.8749146052102,-4.29324745449333,8-12 Ashton Lane,Glasgow,1274.9203325434953,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
steak,Steakhouses,hTYpLa8-w4WdCzyRjS5z5A,The Butchershop Bar & Grill,4.4,55.867009,-4.289232,1055 Sauchiehall Street,Glasgow,1017.4706076510666,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
wine_bars,Wine Bars,hTYpLa8-w4WdCzyRjS5z5A,The Butchershop Bar & Grill,4.4,55.867009,-4.289232,1055 Sauchiehall Street,Glasgow,1017.4706076510666,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
seafood,Seafood,l8UWRblDIfIHWMl5jOd-4Q,Crabshakk,4.5,55.8650142,-4.2846675,1114 Argyle Street,Glasgow,1285.1990596122885,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
indpak,Indian,XutHqBQvVgrCqHrxIgsgrQ,Mother India's Café,4.5,55.867383,-4.291093,1355 Argyle Street,Glasgow,910.4505818146547,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
scottish,Scottish,R7vF2qoBmdO7NCujogPN-w,Stravaigin,4.2,55.872544,-4.282411,28 Gibson Street,Glasgow,1622.7386421813953,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
gastropubs,Gastropubs,R7vF2qoBmdO7NCujogPN-w,Stravaigin,4.2,55.872544,-4.282411,28 Gibson Street,Glasgow,1622.7386421813953,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
scottish,Scottish,8Mpp1Pc17OcuiVyeaFBdeA,The Gannet,4.7,55.8649755,-4.2850311,1155 Argyle Street,Glasgow,1271.3121671801262,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
bistros,Bistros,8Mpp1Pc17OcuiVyeaFBdeA,The Gannet,4.7,55.8649755,-4.2850311,1155 Argyle Street,Glasgow,1271.3121671801262,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
british,British,6aXVZ8PIdPDM7yr_FDep_w,Fanny Trollopes Bistro,4.5,55.8646067,-4.2833538,1066 Argyle Street,Glasgow,1381.473782362329,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
seafood,Seafood,6aXVZ8PIdPDM7yr_FDep_w,Fanny Trollopes Bistro,4.5,55.8646067,-4.2833538,1066 Argyle Street,Glasgow,1381.473782362329,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
indpak,Indian,mO4Tn8uMPKgbM0RjOWgtKg,Mother India,4.5,55.8652985394064,-4.28391695667123,28 Westminster Terrace,Glasgow,1339.0706514980036,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
steak,Steakhouses,7DFVBsQXKuIrrj0-xl17Ew,Porter & Rye,4.6,55.864676,-4.284431,1131 Argyle Street,Glasgow,1311.114684090576,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
museums,Museums,P17DBYjrmgbCTGPhslPHyw,Riverside Museum,4.1,55.8659694867043,-4.30605809501927,100 Pointhouse Place,Glasgow,53.611629367457915,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
belgian,Belgian,58dUYvYmmE2h19Q3qITHaA,Brel,3.8,55.8744497896588,-4.29314222387305,39 Ashton Lane,Glasgow,1237.724146796296,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
bars,Bars,58dUYvYmmE2h19Q3qITHaA,Brel,3.8,55.8744497896588,-4.29314222387305,39 Ashton Lane,Glasgow,1237.724146796296,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
bars,Bars,qjjmYSR3CVsJlr75vyIEBg,BrewDog Glasgow,4.3,55.8677022872916,-4.29187774658203,1397 Argyle Street,Glasgow,871.0798039668226,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
scottish,Scottish,R1NcLn3Qi3un6LcaNiPrjQ,Cail Bruich West,4.6,55.8774846,-4.2891257,725 Great Western Road,Glasgow,1648.463026541415,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
british,British,R1NcLn3Qi3un6LcaNiPrjQ,Cail Bruich West,4.6,55.8774846,-4.2891257,725 Great Western Road,Glasgow,1648.463026541415,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
vietnamese,Vietnamese,8wdUUfCIRaAA22k0hbOK6A,The Hanoi Bike Shop,3.8,55.8754647,-4.2945397,8 Ruthven Lane,Glasgow,1280.3586719645384,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
seafood,Seafood,m_ksPZkHsOFahKM2GvpcFQ,The Finnieston,4.0,55.864654382377,-4.2842772987793,1125 Argyle Street,Glasgow,1320.876594448739,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
cocktailbars,Cocktail Bars,m_ksPZkHsOFahKM2GvpcFQ,The Finnieston,4.0,55.864654382377,-4.2842772987793,1125 Argyle Street,Glasgow,1320.876594448739,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
korean,Korean,pNP1bHoIBJzCTQ57rtJYCQ,Kimchi Cult,4.3,55.8718766,-4.2984028,14 Chancellor Street,Glasgow,811.4396874912256,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
nightlife,Nightlife,y60PB4H_B5SBrIIFT0CkdA,Bothy Restaurant,4.1,55.8754959,-4.2944053,11 Ruthven Lane,Glasgow,1273.774217616141,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
british,British,y60PB4H_B5SBrIIFT0CkdA,Bothy Restaurant,4.1,55.8754959,-4.2944053,11 Ruthven Lane,Glasgow,1273.774217616141,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
scottish,Scottish,y60PB4H_B5SBrIIFT0CkdA,Bothy Restaurant,4.1,55.8754959,-4.2944053,11 Ruthven Lane,Glasgow,1273.774217616141,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
bars,Bars,rK7HmMIfY9NS_hOZ3SPxmQ,The 78,4.1,55.8651133040476,-4.2873620827789,10-14 Kelvinhaugh Street,Glasgow,1125.2146596869538,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
vegan,Vegan,rK7HmMIfY9NS_hOZ3SPxmQ,The 78,4.1,55.8651133040476,-4.2873620827789,10-14 Kelvinhaugh Street,Glasgow,1125.2146596869538,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
british,British,1GgoJogpEYPisfUjmao_Ng,Tibo,4.1,55.858482,-4.2209443,443 Duke Street,Glasgow,1970.34510994194,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
cafes,Cafes,1GgoJogpEYPisfUjmao_Ng,Tibo,4.1,55.858482,-4.2209443,443 Duke Street,Glasgow,1970.34510994194,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
cafes,Cafes,gZG4RC64mZCXLQMnyNIxzA,Coia's Cafe,3.9,55.858587,-4.219946,477 Duke Street,Glasgow,1912.3759237103145,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
delis,Delis,gZG4RC64mZCXLQMnyNIxzA,Coia's Cafe,3.9,55.858587,-4.219946,477 Duke Street,Glasgow,1912.3759237103145,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
bbq,Barbeque,7yJId8AYNB4PvxdQG1NQ6w,Dennistoun Bar-B-Que,4.2,55.8586288,-4.215759,585 Duke Street,Glasgow,1764.6741728628765,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
burgers,Burgers,7yJId8AYNB4PvxdQG1NQ6w,Dennistoun Bar-B-Que,4.2,55.8586288,-4.215759,585 Duke Street,Glasgow,1764.6741728628765,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
hotdogs,Fast Food,7yJId8AYNB4PvxdQG1NQ6w,Dennistoun Bar-B-Que,4.2,55.8586288,-4.215759,585 Duke Street,Glasgow,1764.6741728628765,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
bakeries,Bakeries,MsdWHVvjjzPXR4J-eHgGhg,Tapa Bakehouse,4.2,55.8589638,-4.2192849,21 Whitehill Street,Glasgow,1938.9712159774003,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
organic_stores,Organic Stores,MsdWHVvjjzPXR4J-eHgGhg,Tapa Bakehouse,4.2,55.8589638,-4.2192849,21 Whitehill Street,Glasgow,1938.9712159774003,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
marketstalls,Market Stalls,ERe7uBVr2vw7DdaslQYs1g,The Forge Market,3.8,55.853936,-4.195682,1201 Duke St,Glasgow,822.8780997215866,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
indoor_playcenter,Indoor Playcentre,ERe7uBVr2vw7DdaslQYs1g,The Forge Market,3.8,55.853936,-4.195682,1201 Duke St,Glasgow,822.8780997215866,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
food_court,Food Court,ERe7uBVr2vw7DdaslQYs1g,The Forge Market,3.8,55.853936,-4.195682,1201 Duke St,Glasgow,822.8780997215866,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
bars,Bars,_sA6tD6nXZf1ml5ADdXcQQ,The Duchess of Duke Street,4.1,55.8582526,-4.2181825,380 Duke Street,Glasgow,1836.1286361597138,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
restaurants,Restaurants,_sA6tD6nXZf1ml5ADdXcQQ,The Duchess of Duke Street,4.1,55.8582526,-4.2181825,380 Duke Street,Glasgow,1836.1286361597138,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
hotdogs,Fast Food,K9O4skNFV5qiiLy5SYprAA,Rab Haws Kitchens,5.0,55.8499589,-4.1965876,111 Helenvale Street,Glasgow,385.9391417959607,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
fishnchips,Fish & Chips,hVCDTFqe9sxqh6khy7Vo2A,Dennistoun,3.3,55.85868107050051,-4.218928698984933,6 Whitehill Street,Glasgow,1902.7490550786233,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
pizza,Pizza,hVCDTFqe9sxqh6khy7Vo2A,Dennistoun,3.3,55.85868107050051,-4.218928698984933,6 Whitehill Street,Glasgow,1902.7490550786233,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
kebab,Kebab,hVCDTFqe9sxqh6khy7Vo2A,Dennistoun,3.3,55.85868107050051,-4.218928698984933,6 Whitehill Street,Glasgow,1902.7490550786233,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
cafes,Cafes,sprXXcM-Mb5g0B0px4tKDw,Caffe Euro,4.0,55.8585849,-4.2170191,549 Duke Street,Glasgow,1815.3374198828817,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
localflavor,Local Flavor,7wJs-U_rntYy1yfSa5rLug,Glasgow 2014 Athletes' Village,5.0,55.8440371445904,-4.20810165282205,Springfield Road,Glasgow,718.7262796848802,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
desserts,Desserts,6rQtin3P-_L0gc2UvP0gbw,Harry's Ice Cream,5.0,55.8585625,-4.2153673,597 Duke Street,Glasgow,1739.911932979104,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
creperies,Creperies,6rQtin3P-_L0gc2UvP0gbw,Harry's Ice Cream,5.0,55.8585625,-4.2153673,597 Duke Street,Glasgow,1739.911932979104,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
icecream,Ice Cream & Frozen Yogurt,6rQtin3P-_L0gc2UvP0gbw,Harry's Ice Cream,5.0,55.8585625,-4.2153673,597 Duke Street,Glasgow,1739.911932979104,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
sportsbars,Sports Bars,C4d4kdH-X-c519l_GGCAJQ,Kerrydale Bar,2.3,55.8492154,-4.2059573,Celtic Park,Glasgow,608.2192607167877,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
parks,Parks,G7wyDrflk2aknJ0kVMmEdg,Cuningar Loop,4.0,55.8414146597311,-4.20213576017431,Downiebrae Road,Rutherglen,638.3093000412841,55.846524,-4.197475,0a106cbc148d5a0c2535b51c1dbe3b4d,6
